tick,n1,n2,total_mass
71,35,32,35.4099026008771
72,35,32,36.33516797117953
73,35,32,36.371610298995535
74,35,32,36.87254764084642
75,35,32,37.82793656122691
76,35,32,37.81811129465774
77,35,32,38.31571562189846
78,35,32,39.30130809001552
79,35,32,39.2479312885321
80,35,32,39.73905126347317
81,35,32,44.88757762897987
82,35,32,44.495507744389734
83,35,32,44.722753809732275
84,35,32,45.543083288629624
85,35,32,45.06323447462544
86,35,32,45.34493859774495
87,35,32,46.33930638376079
88,35,32,45.80183130537251
89,35,32,46.13789141129256
90,35,32,47.27578523696831
91,35,32,46.68894067085411
92,35,32,47.051672364588285
93,36,32,48.333084574086755
94,37,32,47.70964956638678
95,37,32,48.099313963272785
96,39,32,48.92003233589579
97,39,32,64.48630752640025
98,56,32,68.81108937004797
99,58,32,87.27742980658896
100,75,32,85.72717539880553
101,76,32,77.4973665605202
102,92,32,95.80227529131646
103,110,32,112.5729104041064
104,127,32,127.7067447172931
105,136,32,141.8566252112521
106,153,32,149.2979996294459
107,162,32,140.25332074512335
108,181,32,151.13075768845087
109,188,32,157.7647462579952
110,209,40,164.91749314140512
111,225,40,153.30246260004617
112,242,40,165.96360220578077
113,253,40,177.35134398718753
114,271,40,184.2914873377396
115,275,40,195.1613057990055
116,293,40,190.75945729052552
117,299,40,201.01785822241945
118,319,40,210.8031333321443
119,325,40,202.30635012416445
120,347,40,212.45080492660668
121,356,40,218.77717220476873
122,375,40,205.01837054319196
123,380,40,208.9722182977536
124,397,40,219.2818127459923
125,402,40,228.84136302211704
126,431,40,214.6997654938635
127,436,40,199.64888668284436
128,469,40,211.66640041895383
129,472,40,222.22850083639867
130,503,40,209.5887561095357
131,510,48,217.1959403373424
132,540,48,227.76341499651969
133,545,48,238.04209493161252
134,579,56,247.5372724967832
135,580,56,255.8780618642119
136,619,56,252.06905413542785
137,621,56,260.74631357094466
138,649,56,267.24121413293096
139,660,56,271.1901872524834
140,679,57,278.5365838095494
141,692,57,285.0652954449933
142,713,59,291.43161747841265
143,727,62,296.467967075699
144,736,64,301.7216538208873
145,741,70,306.94875092470136
146,745,74,285.5948979440081
147,754,78,277.4715674633915
148,763,80,285.32684614727214
149,766,81,292.6534090869954
150,773,81,284.85388561224806
151,773,81,265.85175560325354
152,777,81,248.73372240183156
153,778,81,241.1764507095965
154,779,81,227.3378701739045
155,780,82,214.17400457009296
156,772,82,202.5764646337158
157,764,82,196.62302461619643
158,757,82,214.22327752801033
159,755,82,230.3541988408164
160,754,82,208.22276438111172
161,752,79,225.25096943099777
162,751,79,232.44333506133287
163,746,79,218.76646035899375
164,745,79,233.49671075096524
165,748,78,248.70921564477996
166,747,74,234.30907871807705
167,738,73,224.5896412639053
168,738,71,217.91949045351652
169,738,72,219.96151779905512
170,730,75,236.7681207433513
171,732,76,250.55701844048747
172,736,81,257.1225226534054
173,744,84,254.18716519071427
174,744,85,254.708147353815
175,746,86,267.7307113560736
176,736,89,280.3349737785703
177,738,90,290.42374460365215
178,750,94,301.8973803865424
179,757,97,311.3517769318996
180,771,97,320.64614069461015
181,775,101,329.28482380701104
182,769,103,337.52242095292905
183,778,103,343.3976402338441
184,762,104,350.5675493220778
185,774,104,355.84813988272873
186,776,105,362.03949586118983
187,792,105,367.2896657953683
188,793,105,371.275309388222
189,801,105,375.33059107969143
190,806,106,370.3629507023571
191,805,106,372.1933581742599
192,816,107,377.58627534515824
193,820,106,382.6177190567796
194,833,103,371.0875988132919
195,838,104,376.938332751806
196,846,105,382.33746452067686
197,851,103,369.367204097704
198,859,102,374.9835459005997
199,870,101,380.7753438832213
200,877,100,385.512734923973
201,880,100,389.9215270779324
202,889,98,394.0293448641595
203,901,95,398.3507942805661
204,908,95,397.9991822153707
205,915,96,401.64012839009285
206,921,96,402.8352083866643
207,939,97,406.72029879405585
208,953,97,402.38268504487576
209,957,97,402.46909205093334
210,970,97,406.6153815563285
211,993,97,408.18185948421774
212,1005,93,411.9777238904507
213,1049,93,415.59733026428455
214,1060,90,413.22405585575433
215,1094,89,416.4461225552497
216,1113,89,419.03738889318623
217,1140,89,419.7751019616704
218,1159,82,423.04493637347736
219,1179,82,425.087506280582
220,1179,82,427.9488797083687
221,1203,81,430.04928920402506
222,1214,77,432.5603473283141
223,1227,77,413.0033112765126
224,1233,76,415.39676259454814
225,1245,76,419.5457222776832
226,1256,69,395.346522286948
227,1263,66,401.3598193792938
228,1273,61,406.991033399779
229,1277,60,390.84007885977235
230,1286,60,397.5764350246816
231,1307,60,403.7505961860152
232,1318,58,386.579226890652
233,1329,55,393.87597311764773
234,1337,54,400.54733256619505
235,1342,55,384.4648537737637
236,1358,52,391.9984787655759
237,1370,53,398.90615785274815
238,1398,54,405.2192250925165
239,1403,52,410.3076803070615
240,1422,53,401.2638249580279
241,1433,51,407.2895719274443
242,1449,51,412.56500295416134
243,1454,49,380.8275216643564
244,1454,51,388.7054086953819
245,1462,53,388.88141493806626
246,1463,53,385.0564475595454
247,1479,54,390.6392918368689
248,1477,54,397.8969687639188
249,1494,54,396.8189101018987
250,1507,55,403.0798809671782
251,1517,55,409.3201526654118
252,1528,55,413.8588803979221
253,1541,58,417.209179418001
254,1552,58,417.37444412028935
255,1557,60,417.1269249651452
256,1549,60,422.1802501913018
257,1546,60,426.7533219594272
258,1564,60,422.07312249454213
259,1571,60,426.66084506209006
260,1567,59,430.87970198918873
261,1572,59,432.3570696952214
262,1560,60,435.81805786927777
263,1573,60,439.1512755052912
264,1573,61,441.0857097977827
265,1580,61,441.67503314038663
266,1583,61,444.3530091027785
267,1573,61,446.86668081819806
268,1561,61,442.7695376893899
269,1550,61,445.37382278010057
270,1535,61,447.6575039080465
271,1539,62,444.8587956887633
272,1540,64,447.00057156918143
273,1524,64,448.76730851027907
274,1533,66,450.7008527574606
275,1524,67,451.4156878590927
276,1520,68,449.54836957630096
277,1521,69,451.33125591205385
278,1530,70,452.08577690316594
279,1533,71,452.3433759278245
280,1537,72,452.977528169266
281,1543,75,454.0367543553679
282,1547,75,454.7804410521912
283,1551,76,453.8367965342869
284,1552,76,453.92720333878503
285,1553,76,453.86209926753463
286,1564,79,453.2800550187374
287,1549,80,454.21800428529053
288,1557,79,453.7741689945682
289,1573,80,454.37842107947887
290,1586,79,455.32845833847864
291,1598,78,453.3973701448279
292,1615,77,454.0502523727876
293,1629,77,454.8778125991001
294,1648,77,453.9541135403749
295,1666,75,453.23100261570966
296,1674,74,453.8890040911207
297,1676,72,453.9865639583786
298,1684,65,453.2201119957265
299,1688,64,453.7539494786742
300,1710,64,452.963527795287
