tick,n1,n2,total_mass
220,700,161,307.0801366742293
221,708,161,301.60183061622666
222,714,162,288.56535102225826
223,724,159,268.03249915706823
224,722,162,260.54744931716533
225,728,160,271.47440821457036
226,732,162,281.58164783606406
227,738,163,254.5498096438019
228,739,166,265.27460009723575
229,741,165,276.37936414513496
230,736,165,285.4086095590104
231,733,169,294.7020828801172
232,740,173,266.3778587236542
233,744,173,270.3504186339812
234,746,177,281.7768684473706
235,750,180,257.1286020757259
236,757,180,254.0286459895924
237,763,183,263.4960780850476
238,767,187,276.18963420113863
239,775,188,286.50220771785786
240,778,189,295.3302832334844
241,791,195,303.2045208476567
242,803,195,308.7218345781558
243,818,199,308.52527711924694
244,827,206,306.1816544271828
245,824,207,312.41613269615857
246,834,214,320.34944635851684
247,843,220,298.95114973251987
248,852,225,308.54128423772335
249,864,230,312.67624855010433
250,880,235,322.0871042250362
251,890,236,329.27966160521134
252,901,238,337.1254160868137
253,903,241,343.4671808190311
254,916,242,350.179613904483
255,919,245,356.19120430830645
256,920,245,361.7909392480028
257,929,246,368.04669316921314
258,924,247,372.5717560717221
259,923,248,375.60602421350455
260,921,247,348.3304559521353
261,919,250,340.0908172016057
262,913,250,320.2639982667629
263,908,248,331.40385288799354
264,899,249,341.6060567585054
265,899,247,350.34892401886515
266,900,249,359.05534578011674
267,893,245,344.0141921214209
268,889,243,353.3992366152828
269,884,237,361.0890252442072
270,881,237,358.6933393514568
271,877,238,366.40473238143454
272,885,237,374.471462653261
273,877,235,378.7269828468727
274,889,236,383.72329021788227
275,889,237,389.5926154028625
276,894,236,395.74150730020665
277,892,232,399.67496634818974
278,891,227,404.578270512391
279,906,226,409.3440530423256
280,921,223,414.0395409544808
281,927,218,417.36177288438626
282,941,216,421.5178190281088
283,941,210,425.0959772810352
284,951,206,410.79082200497703
285,962,205,406.10611075276887
286,978,200,411.8192378096838
287,979,204,416.1712179207787
288,994,208,421.1324133699713
289,997,206,423.6376178644992
290,1013,204,426.37443215177893
291,1017,199,430.7779830778496
292,1022,193,435.3098208341361
293,1035,179,439.4429267939755
294,1031,174,418.3501036430168
295,1042,167,421.569062836011
296,1045,163,428.0317322674465
297,1058,158,434.0026680867997
298,1069,159,420.94262150845526
299,1078,160,423.3547522525389
300,1089,161,403.6469728835803
