tick,num_nodes,num_edges,total_mass,mass_variance,kinetic_energy,potential_energy,total_energy,total_momentum_scalar,total_momentum_algebraic,vorticity_global
140,2116,4068,470.3066105810295,0.2620237747008801,6912613869.723986,8727.218706761754,6912622596.942693,17060.14449908213,0,0.2985360554369269
141,2131,4083,470.3571759652494,0.25843532462979063,6958309494.074666,9018.337444668385,6958318512.41211,23736.128579318574,0,0.267646675817561
142,2137,4089,470.3748113709917,0.28605472806324955,37074887533.090576,9681.80146088835,37074897214.89204,28365.045221347296,0,0.4590822997702157
143,2147,4098,470.4038665542347,0.4098448978277703,67802034043.21594,9972.923488057218,67802044016.13943,29662.352160380997,0,0.2585974064267794
144,2152,4103,470.37386872022614,0.4057530723741875,38505316797.74622,10180.540798678472,38505326978.287025,21634.804886195627,0,0.7033461639120496
145,2136,4087,470.35582479550345,0.4125128108937402,56370652150.59333,10922.533086139754,56370663073.12642,25555.62768936983,0,2.251569816885157
146,2165,4115,470.38084347280767,0.3387687682230701,38670583121.614685,9746.027229708872,38670592867.641914,30290.10992211179,0,0.06547219568260038
147,2142,4093,470.4111331435816,0.3447621679382593,73335315957.27148,9847.899039893777,73335325805.17052,23651.30322222144,0,0.35319517420772845
148,2140,4092,470.3997371362944,0.30207174175530405,35896825824.15945,9677.933742846748,35896835502.09319,21671.847084240613,0,0.19777850557578053
149,2117,4069,470.4226028898974,0.5531933139814847,67160721721.44766,12215.337724443963,67160733936.785385,30223.945179404327,0,4.088321333489598
150,2061,4012,469.726569977717,0.44916995979265906,43645175767.29901,10919.735999551804,43645186687.03501,26686.822596000693,0,2.312114277938522
151,2037,3973,469.2891149557212,0.43067776224533527,50675431331.96632,10855.308494209114,50675442187.27481,29192.382452758884,0,2.713272939646128
152,2040,3977,469.3937552303976,0.38124274981270334,36389570910.03486,10359.526540649307,36389581269.5614,25839.974161880094,0,2.946960209360364
153,2036,3988,469.5228435338836,0.3477656462446389,55247853001.55678,10025.281472214085,55247863026.83825,28693.52168390655,0,2.9720792379399716
154,2022,3974,469.6412270745389,0.3348183417311094,35915299422.92464,9867.577461164448,35915309290.5021,25525.2501725927,0,2.2719841511376324
155,2029,3981,469.7556692753846,0.3852590587461151,57381212828.77509,10362.703451162544,57381223191.478546,28791.280834821457,0,3.344436271396404
156,1996,3948,469.43260712445857,0.3836788134022548,5636726903.486247,10465.84841566538,5636737369.334662,25289.873062092764,0,4.062454438232511
157,2002,3953,469.55996317393743,0.3348926638043732,44514093283.510445,10207.40259381452,44514103490.91304,28233.485108153352,0,3.045242758207597
158,1991,3941,469.5774873162909,0.29209301551989425,26005574045.01701,9543.454071097573,26005583588.47108,25022.018878201136,0,2.462296998632179
159,1983,3932,469.64579938130584,0.4092700428200732,52414792639.53383,10645.197443708086,52414803284.73127,28284.748153408524,0,2.8022863352272176
160,1984,3934,469.7408504524014,0.406202155961742,28828657444.054996,10829.00690182756,28828668273.061897,25225.208946442064,0,3.254105028058941
161,1989,3940,469.8366491710433,0.35201826309158835,46834151092.53031,10468.381998074452,46834161560.91231,28315.139764031635,0,2.836938845951879
162,1971,3919,469.7395369167664,0.3523784954002377,27970006583.451714,10470.281026919884,27970017053.732742,24892.147612458062,0,2.9162518034779112
163,1963,3911,469.7010163947934,0.3594090310141656,51649687189.682465,10454.264544703909,51649697643.94701,28437.667255003787,0,1.9980135973444804
164,1973,3923,469.7978687099301,0.3544624916047394,24411343904.591007,10311.598089719177,24411354216.1891,24831.360512875966,0,2.168795148124709
165,1980,3931,469.8972733137763,1.1203431618932311,21846529168.422867,15367.836321374936,21846544536.25919,28778.683558155837,0,2.246994552327547
166,1993,3945,469.8800181612157,0.3805828861125438,39772622322.25796,10933.730733931769,39772633255.98869,20026.114951124266,0,4.433567378270367
167,2011,3963,469.9612238307903,0.4258548060621199,13088906184.775743,11495.538772800011,13088917680.314518,30687.895119827237,0,3.336954304805253
168,1998,3948,469.93709138037735,0.48735649028730577,5779937048.354864,12290.82144099754,5779949339.176305,21134.396279429784,0,14.458064412094425
169,2018,3968,470.0231306078614,0.5016643170025541,10310650263.504507,12674.360231925655,10310662937.864738,24495.634967757876,0,0.05945203548645335
170,2021,3968,469.9424821947309,0.4974810028475108,6130759834.760192,12525.972267648003,6130772360.73246,19555.021893044108,0,0.11730434031966196
171,2031,3976,469.9668128675773,0.3555377239034994,6196030950.733243,10692.084197229911,6196041642.81744,23796.55369642793,0,0.05795218744087639
172,2023,3955,469.8560694028776,0.3965755709285676,38527162044.926834,10945.659554631206,38527172990.58639,18289.215810964673,0,0.03935165043973963
