tick,n1,n2,total_mass
92,3856,105,1260.674231741542
93,3888,105,1248.5215393565638
94,3958,105,1235.218134913766
95,3990,105,1221.2878286025546
96,4055,105,1206.624615502687
97,4075,105,1190.8252778415656
98,4176,104,1174.7111454376036
99,4220,104,1157.9231468712017
100,4316,104,1138.2947072307452
101,4338,105,1120.393506117651
102,4414,103,1101.4784207269197
103,4447,103,1082.1752013560813
104,4503,104,1062.3372977099505
105,4530,105,1041.006296781808
106,4585,106,1019.8508651842154
107,4588,105,998.1345577011195
108,4642,105,975.3734148912404
109,4667,105,952.270838471218
110,4685,105,928.709607812838
111,4724,105,904.1862342170182
112,4762,102,879.5894939749396
113,4787,99,854.4553261891238
114,4827,98,828.4999358421846
115,4831,95,802.3451445603497
116,4825,94,775.4414364201392
117,4814,88,748.2469413533083
118,4792,86,720.7160009223074
119,4765,85,691.7195416887023
120,4742,85,663.3050860473912
121,4706,84,634.3309622950906
122,4688,81,604.898669274257
123,4648,80,575.4553778669358
124,4602,79,545.5472404131744
125,4550,77,514.6198773095875
126,4488,76,484.2101215667995
127,4427,68,453.3642776360218
128,4346,64,422.28309465632066
129,4263,60,390.09662785917993
130,4194,59,357.5123677971835
131,4113,58,325.53687591169967
132,4028,55,294.39258822909284
133,3928,55,268.97575765886955
134,3813,56,248.81147979072017
135,3743,56,233.54078870440784
136,3669,57,218.38335239980077
137,3594,58,213.10946174909057
138,3495,61,209.29423687851897
139,3388,62,201.28111948340216
140,3297,66,202.6562139988233
141,3229,68,211.12532970332697
142,3119,70,215.8196860746135
143,3033,74,225.80192910096272
144,2932,81,220.30515883387173
145,2814,90,239.6150679723259
146,2704,112,258.0801481731958
147,2597,125,278.3128545772376
148,2517,147,300.1546357974194
149,2410,168,323.8888250739351
150,2302,186,346.4886240278095
151,2203,204,369.9538370003925
152,2099,225,393.80604224451736
153,2014,243,417.7702722257273
154,1940,269,442.38170398713095
155,1857,279,462.4315750616806
156,1751,315,489.35038014509826
157,1675,330,516.3811790933111
158,1607,380,542.4179928643257
159,1544,407,568.2807322113941
160,1473,436,595.030294771132
161,1408,480,621.5347484723237
162,1322,524,649.8862668313695
163,1239,577,671.618014307028
164,1180,617,697.3707174739535
165,1092,658,722.2825088870784
166,1015,698,750.1904337234574
167,933,746,777.2601553874157
168,882,789,804.5960360245838
169,828,839,830.6004314080565
170,759,884,856.3429195004798
171,716,931,882.6147936687988
172,664,982,908.5799766361984
173,597,1035,933.28525618808
174,555,1076,958.0649704798456
175,497,1141,982.2532945302454
176,466,1182,1005.6092231189164
177,420,1236,1028.6516514899192
178,380,1282,1050.986606346493
179,346,1331,1071.4004612236645
180,314,1369,1092.3313296817016
181,295,1420,1112.6095949202982
182,290,1460,1126.1083794154592
183,297,1516,1145.5833946475177
184,303,1569,1162.3589380026085
185,303,1624,1180.3665349907092
186,309,1680,1197.2527530594816
187,317,1732,1213.753079206756
188,315,1796,1226.3809165461012
189,319,1846,1238.7569497965346
190,324,1911,1250.4592659331868
191,326,1977,1262.6740276885878
192,337,2049,1273.6712391474011
193,339,2127,1284.958870654147
194,341,2180,1295.34770021416
195,337,2238,1299.3046081236214
196,336,2304,1309.750605929015
197,331,2401,1315.9924869984818
198,333,2469,1323.669561731603
199,332,2553,1330.0302277537387
200,322,2616,1337.082745452318
201,314,2693,1343.15927007308
202,310,2752,1348.9400640477977
203,307,2826,1352.0092992023706
204,306,2891,1355.9411750038785
205,302,2960,1358.6125518042995
206,303,3027,1360.4242979358592
207,298,3099,1361.6022367180417
208,292,3158,1362.017758859615
209,293,3245,1357.710188081361
210,283,3300,1356.4575208497258
211,280,3385,1353.767716778637
