tick,source_rho,destA_rho,destB_rho
225,10.489771682174858,0.061891632161893986,0.3952614017702835
226,10.095154379957044,0.0791793188543904,0.3936305618766473
227,9.883493286740148,0.4876200393709912,0.4187446493428187
228,9.86772316370612,0.4903300776885248,0.4003920024165429
229,10.035777017878551,0.7628458879504154,0.35390762754876726
230,10.352209698634212,0.7670862376722158,0.34814008257686274
231,10.762187152480506,0.971582720390148,0.1918611413977871
232,11.197452491893232,0.9727117421307888,0
233,11.583693985593133,1.0212383680624304,0.6668713516511489
234,11.848606944304656,1.021366702956317,0.6674025157507798
235,11.929873437978705,0.9220229887348896,0.7213136397234984
236,11.782287144452653,0.9160946488779256,0.7195841371964561
237,11.383325257836155,0.3364568812056621,0.7251110207404463
238,10.736608700977,0.3306505687688845,5.677320614161374e-05
239,9.87288345685542,0.0028408502315080963,0.5367732913674383
240,8.84838247561963,0.4253719397572767,0.5346813495603957
241,7.740668927786828,0.2067295297997141,0.599497967982183
242,6.6422957673930245,0.20476320527033612,0.5973619978592825
243,5.652822406707697,0.15461762632635576,0.6501014481628935
244,4.869888013551279,0.15879780550900624,0.6469311246825212
245,4.380137900000101,0.5793814004889434,0.5634878861731016
246,4.2508255244830035,0.5831228338858574,0.5579505075633809
247,4.5228649308190345,0.9223295642995116,0.3334991082114995
248,5.205990730919861,0.9292943469012752,0.3243690001395393
249,6.27650500542208,1.181295820746218,0.02876050736264668
250,7.677868150481123,1.1848159768807234,0.0010777137064568523
251,9.32414318819716,1.1880796331420476,0.05193159959170164
252,11.106052162733818,0.00247311546802792,0.0455095729283403
253,12.899171148914784,0.740180287686278,0.3588979338955655
254,14.573597727621024,0.7408336851011329,0.35686100434949375
255,16.00428876084151,0.8874145629104262,0.5631235797630498
256,17.08119922718367,0.8887394922320049,0.5659294587236657
257,17.71836102326062,0.9739525201180184,0.6271723363529449
258,17.861123664189655,0.9750636145400776,0.6053670599994457
259,17.49092980701095,0.9069083667203736,0.5510522038120116
260,16.627204562889766,0.90666078395889,0
261,15.326180881974295,0.6996719335507504,3.831846388036278
262,13.676742806596645,0.6973217905067298,3.862838747026797
263,11.793621556600453,0.4552131263744871,4.403547204368696
264,9.808504223247407,0.4511337201847182,4.355597702590202
265,7.859791755582382,0.20628753117079365,0.01606349524705758
266,6.0818565570249525,0.2016585805829978,1.0408340855860844e-17
267,4.594690534739586,0.010547804165123603,1.0629112135196317
268,3.4947984203849596,0.07898118863871201,1.115819818877308
269,2.848081863525026,0.5376037921439998,1.3814106682720309
270,2.6852868471401097,0.5378609715732242,1.3919182952191351
271,3.000365594662342,0.8429493773945294,1.6465475137075811
272,3.7518537390599778,0.8460404097295897,1.6556034104837736
273,4.8671060050421575,1.1683137531567476,1.8025385415867043
274,6.248991471409589,1.1754801441062206,1.7988162299099917
275,7.784443667662308,1.2223079628718938,1.173119741057667
276,9.354109083335732,0.0022901834175271807,1.157358893536527
277,10.842253069490845,0.7269008149369276,0.3331572359850118
278,12.146071574121766,0.7270406475590118,0.3058137561933377
279,13.18362110836874,0.8455762360062934,0
280,13.899711648726448,0.845688671799149,0
281,14.269295695492092,0.825436762583406,0
282,14.29811437153714,0.8246018335123438,1.2881987915333932
283,14.020607816850088,0.601332343381366,1.4155921182687667
284,13.495340213622194,0.5995538241272944,1.4173119137751962
285,12.798407965275542,0.3546676100611342,0.002556656787437328
286,12.015473572119443,0.3529046003466642,4.336808689942019e-19
287,11.233182346230056,0.0976214066144518,0
288,10.530764413547551,0.10347050328348444,0
289,9.972596826738334,0.01424777035573857,0
290,9.60240296955872,0.12380485279106757,1.5622646418995223
291,9.43960795317408,0.404393578218931,1.5658956535980804
292,9.47816400101655,0.4052143770082528,0.0035868201669377875
293,9.6879276178693,0.685602844858062,0
294,10.018431794249132,0.6873452600501474,1.8292304636670471
295,10.404673287949004,0.9736009342807552,1.8374649757610697
296,10.774347409693286,0.9768048925305894,0.005215307520233692
297,11.055827740360629,1.179255146508725,0
298,11.186118079747734,0.968988859745152,0.1391968775105224
299,11.11800506368828,0.9272432944596886,0
300,10.825712240974738,0.9271986337729576,2.158544732357341
