survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
post_mild,5.0,35,mother,synth_9000,synth:grail,1.9e-05,0.486642,3.2e-05
post_mild,5.0,36,templa mar,synth_9000,synth:grail,1.4e-05,0.486374,2.3e-05
post_mild,5.0,37,master,synth_9000,synth:grail,1.9e-05,0.486617,3.1e-05
post_mild,5.0,38,mystery,synth_9000,synth:grail,2e-05,0.486681,3.3e-05
post_mild,5.0,39,yeshua,synth_9000,synth:grail,1.6e-05,0.483618,2.6e-05
post_mild,5.0,40,pure gem,synth_9000,synth:grail,1.9e-05,0.486656,3.2e-05
post_mild,5.0,41,lineages,synth_9000,synth:grail,1e-06,0.327982,1e-06
post_mild,5.0,42,gate,synth_9000,synth:grail,1.8e-05,0.486595,3e-05
post_mild,5.0,43,flame,synth_9000,synth:grail,2.1e-05,0.48676,3.5e-05
post_mild,5.0,44,dweller,synth_9000,synth:grail,1.1e-05,0.483522,1.8e-05
post_mild,5.0,45,crystal skulls,synth_9000,synth:grail,1e-05,0.483381,1.6e-05
post_mild,5.0,46,atlantis,synth_9000,synth:grail,2.1e-05,0.486742,3.5e-05
post_mild,5.0,47,of light,synth_9000,synth:grail,1.9e-05,0.486593,3.2e-05
post_mild,5.0,48,merkabah,synth_9000,synth:grail,2.8e-05,0.485783,4.7e-05
post_mild,5.0,49,love,synth_9000,synth:grail,1.8e-05,0.486539,3e-05
post_mild,5.0,50,grace,synth_9000,synth:grail,1.9e-05,0.486629,3.1e-05
post_mild,5.0,51,rite akashic,synth_9000,synth:grail,2e-06,0.409126,3e-06
post_mild,5.0,52,temple of,synth_9000,synth:grail,3.9e-05,0.485853,6.4e-05
post_mild,5.0,53,lion,synth_9000,synth:grail,1.8e-05,0.486606,3e-05
post_mild,5.0,54,matter,synth_9000,synth:grail,1.8e-05,0.486579,2.9e-05
post_mild,5.0,55,sun,synth_9000,synth:grail,1.8e-05,0.486589,3e-05
post_mild,5.0,56,skulls,synth_9000,synth:grail,1e-05,0.483381,1.6e-05
post_mild,5.0,57,blood,synth_9000,synth:grail,2e-05,0.486711,3.4e-05
post_mild,5.0,58,metatronic,synth_9000,synth:grail,3.8e-05,0.485849,6.3e-05
post_mild,5.0,59,tree,synth_9000,synth:grail,1.9e-05,0.486555,3.1e-05
post_mild,5.0,60,self,synth_9000,synth:grail,1.9e-05,0.486611,3.1e-05
post_mild,5.0,61,old,synth_9000,synth:grail,1.9e-05,0.486625,3.1e-05
post_mild,5.0,62,king,synth_9000,synth:grail,1.6e-05,0.486469,2.6e-05
post_mild,5.0,63,set,synth_9000,synth:grail,1.9e-05,0.486667,3.2e-05
post_mild,5.0,64,john,synth_9000,synth:grail,1.2e-05,0.486179,2e-05
post_mild,5.0,65,atlantean,synth_9000,synth:grail,2.1e-05,0.48678,3.5e-05
post_mild,5.0,66,jesus,synth_9000,synth:grail,1.4e-05,0.486221,2.2e-05
post_mild,5.0,67,spirit heart,synth_9000,synth:grail,2.7e-05,0.485723,4.4e-05
post_mild,5.0,68,nature,synth_9000,synth:grail,1.8e-05,0.486532,3e-05
post_mild,5.0,69,heart sanctuary,synth_9000,synth:grail,1.4e-05,0.483415,2.3e-05
post_mild,5.0,70,adam,synth_9000,synth:grail,1.9e-05,0.486582,3.1e-05
post_mild,5.0,71,crystal,synth_9000,synth:grail,8e-06,0.45621,1.2e-05
post_mild,5.0,72,isis eye,synth_9000,synth:grail,1e-05,0.486126,1.6e-05
post_mild,5.0,73,mari,synth_9000,synth:grail,1.6e-05,0.486474,2.6e-05
post_mild,5.0,74,egypt,synth_9000,synth:grail,2e-05,0.486673,3.2e-05
post_mild,5.0,75,central,synth_9000,synth:grail,1.8e-05,0.486575,2.9e-05
post_mild,5.0,76,logos,synth_9000,synth:grail,1.9e-05,0.486619,3.1e-05
post_mild,5.0,77,temporal alchemy,synth_9000,synth:grail,1e-06,0.428314,1e-06
post_mild,5.0,78,knowledge,synth_9000,synth:grail,1.8e-05,0.486575,2.9e-05
post_mild,5.0,79,par,synth_9000,synth:grail,3.2e-05,0.496065,5.4e-05
post_mild,5.0,80,city,synth_9000,synth:grail,1.7e-05,0.486533,2.8e-05
post_mild,5.0,81,alchemy star,synth_9000,synth:grail,1e-06,0.428314,1e-06
post_mild,5.0,82,johannine grove,synth_9000,synth:grail,3.1e-05,0.495916,5.1e-05
post_mild,5.0,83,rose,synth_9000,synth:grail,1.7e-05,0.486477,2.9e-05
post_mild,5.0,84,mysteries,synth_9000,synth:grail,1.9e-05,0.486625,3.1e-05
post_mild,5.0,85,tehuti,synth_9000,synth:grail,1.6e-05,0.486423,2.6e-05
post_mild,5.0,86,black,synth_9000,synth:grail,2e-05,0.486683,3.3e-05
post_mild,5.0,87,crystals,synth_9000,synth:grail,1.9e-05,0.486652,3.2e-05
post_mild,5.0,88,prima matra,synth_9000,synth:grail,1.7e-05,0.486487,2.8e-05
post_mild,5.0,89,mystery school,synth_9000,synth:grail,3.1e-05,0.49603,5.3e-05
post_mild,5.0,90,christine hayes,synth_9000,synth:grail,1.4e-05,0.484001,2.3e-05
post_mild,5.0,91,goddess,synth_9000,synth:grail,1.9e-05,0.486678,3.2e-05
post_mild,5.0,92,plain,synth_9000,synth:grail,1e-05,0.486069,1.6e-05
post_mild,5.0,93,lotus,synth_9000,synth:grail,1.2e-05,0.483485,2e-05
post_mild,5.0,94,christos,synth_9000,synth:grail,3e-05,0.485158,5e-05
post_mild,5.0,95,book,synth_9000,synth:grail,2e-05,0.486681,3.3e-05
post_mild,5.0,96,kadmon,synth_9000,synth:grail,1.7e-05,0.48651,2.9e-05
post_mild,5.0,97,queen,synth_9000,synth:grail,1.4e-05,0.483647,2.3e-05
post_mild,5.0,98,simeon,synth_9000,synth:grail,1.2e-05,0.48604,2e-05
post_mild,5.0,99,grid,synth_9000,synth:grail,1.8e-05,0.486596,3e-05
post_mild,5.0,100,name,synth_9000,synth:grail,1.9e-05,0.486633,3.1e-05
post_mild,5.0,101,the sun,synth_9000,synth:grail,1.7e-05,0.486537,2.8e-05
post_mild,5.0,102,presence,synth_9000,synth:grail,1.8e-05,0.486605,3e-05
post_mild,5.0,103,sea,synth_9000,synth:grail,1.6e-05,0.48642,2.6e-05
post_mild,5.0,104,church,synth_9000,synth:grail,1.3e-05,0.48631,2.2e-05
post_mild,5.0,105,egyptian,synth_9000,synth:grail,1.7e-05,0.486514,2.8e-05
post_mild,5.0,106,free information,synth_9000,synth:grail,6e-06,0.453583,1e-05
post_mild,5.0,107,holorian,synth_9000,synth:grail,1e-05,0.48334,1.7e-05
post_mild,5.0,108,space,synth_9000,synth:grail,1.8e-05,0.486605,3e-05
post_mild,5.0,109,high,synth_9000,synth:grail,1.8e-05,0.486605,3e-05
post_mild,5.0,110,forms,synth_9000,synth:grail,1.9e-05,0.486632,3.1e-05
post_mild,5.0,111,mar,synth_9000,synth:grail,1.8e-05,0.486623,3e-05
post_mild,5.0,112,rite,synth_9000,synth:grail,1e-06,0.326964,1e-06
post_mild,5.0,113,practice,synth_9000,synth:grail,1e-06,0.326964,1e-06
post_mild,5.0,114,lord,synth_9000,synth:grail,1.4e-05,0.486291,2.3e-05
post_mild,5.0,115,please support,synth_9000,synth:grail,6e-06,0.453583,1e-05
post_mild,5.0,116,lady,synth_9000,synth:grail,1.5e-05,0.486386,2.4e-05
post_mild,5.0,117,gem,synth_9000,synth:grail,1.9e-05,0.486659,3.2e-05
post_mild,5.0,118,mazur,synth_9000,synth:grail,2.2e-05,0.487087,3.7e-05
post_mild,5.0,119,kyi,synth_9000,synth:grail,6e-06,0.453575,9e-06
post_mild,5.0,120,sirius,synth_9000,synth:grail,1.5e-05,0.486455,2.5e-05
post_mild,5.0,121,valley,synth_9000,synth:grail,1.7e-05,0.486538,2.8e-05
post_mild,5.0,122,lords,synth_9000,synth:grail,1.7e-05,0.486573,2.9e-05
post_mild,5.0,123,journey,synth_9000,synth:grail,1.9e-05,0.48656,3.1e-05
