survey,damping,inject_id,inject_label,dominant_basin,dominant_basin_label,final_maxRho,final_entropy,final_mass
baseline,0.2,108,space,108,space,11.930194,0.800382,38.471981
baseline,0.2,109,high,109,high,11.930194,0.800382,38.471981
baseline,0.2,110,forms,110,forms,11.986889,0.79904,38.489513
baseline,0.2,111,mar,111,mar,8.862021,0.854223,37.702692
baseline,0.2,112,rite,112,rite,17.74721,0.423598,38.81298
baseline,0.2,113,practice,113,practice,17.74721,0.423598,38.81298
baseline,0.2,114,lord,114,lord,0.763158,0.972714,34.68614
baseline,0.2,115,please support,115,please support,15.92033,0.656747,39.750991
baseline,0.2,116,lady,116,lady,1.532988,0.967011,35.528777
baseline,0.2,117,gem,117,gem,12.678278,0.781885,38.653304
baseline,0.2,118,mazur,118,mazur,0.310228,0.986314,32.313219
baseline,0.2,119,kyi,119,kyi,15.90966,0.656534,39.670571
baseline,0.2,120,sirius,120,sirius,3.897773,0.928303,36.55702
baseline,0.2,121,valley,121,valley,9.149346,0.851209,37.805074
baseline,0.2,122,lords,122,lords,8.902875,0.848511,37.807127
baseline,0.2,123,journey,123,journey,12.781186,0.781167,38.33569
baseline,0.2,124,dragon,124,dragon,12.528794,0.7857,38.568852
baseline,0.2,125,individual,125,individual,12.227768,0.795136,38.53886
baseline,0.2,126,melchizedek,46,atlantis,0.26832,0.986981,31.233236
baseline,0.2,127,age,127,age,9.155853,0.849173,37.834104
baseline,0.2,128,stone,128,stone,3.856149,0.919068,36.6284
baseline,0.2,129,dweller crystal,129,dweller crystal,0.958422,0.947895,33.463848
baseline,0.2,130,level,130,level,11.930194,0.800382,38.471981
baseline,0.2,131,non profitset,131,non profitset,15.92033,0.656747,39.750991
baseline,0.2,132,magdalene,132,magdalene,3.382612,0.941592,36.386159
baseline,0.2,133,stars,133,stars,12.375791,0.789055,38.608971
baseline,0.2,134,island,134,island,10.056191,0.825295,37.201809
baseline,0.2,135,moon,135,moon,12.271793,0.794271,38.566056
baseline,0.2,136,maia christianne,136,maia christianne,17.944706,0.731955,51.685983
baseline,0.2,137,state,137,state,11.986889,0.79904,38.489513
baseline,0.2,138,thothhorra khandr,138,thothhorra khandr,26.059325,0.602463,51.740612
baseline,0.2,139,sanctuary,139,sanctuary,14.089156,0.73208,37.735953
baseline,0.2,140,dynamic,140,dynamic,12.147948,0.794359,38.476475
baseline,5.0,1,grail,1,grail,0.001088,0.981774,0.109165
baseline,5.0,2,christ,2,christ,0.616507,0.728351,1.733881
baseline,5.0,3,isis,3,isis,0.000722,0.982294,0.069546
baseline,5.0,4,osiris,4,osiris,0.001804,0.978139,0.116289
baseline,5.0,5,earth star,5,earth star,0.005974,0.95698,0.159923
baseline,5.0,6,temple doors,6,temple doors,0.024686,0.946945,0.557225
baseline,5.0,7,numis'om,7,numis'om,0.066647,0.757439,0.900611
baseline,5.0,8,ark,8,ark,0.001245,0.981935,0.11843
baseline,5.0,9,metatron,9,metatron,0.33122,0.755419,1.41845
baseline,5.0,10,venus,10,venus,0.680204,0.696729,1.798234
baseline,5.0,11,orion,11,orion,0.001448,0.978245,0.123929
baseline,5.0,12,eye,12,eye,0.002481,0.977786,0.133097
baseline,5.0,13,loch,13,loch,3.1e-05,0.989319,0.003776
baseline,5.0,14,maia nartoomid,14,maia nartoomid,0.013831,0.542262,0.129963
baseline,5.0,15,god,15,god,0.001171,0.981562,0.118357
baseline,5.0,16,doors,16,doors,0.001477,0.980755,0.1311
baseline,5.0,17,star lineages,17,star lineages,0.003036,0.570799,0.034772
baseline,5.0,18,adam kadmon,18,adam kadmon,0.000501,0.982936,0.048713
baseline,5.0,19,new earth star,19,new earth star,0.726755,0.633545,1.810764
baseline,5.0,20,horus,20,horus,0.000354,0.98247,0.034642
baseline,5.0,21,skull,21,skull,0.00065,0.979666,0.035956
baseline,5.0,22,christic,22,christic,0.31079,0.811327,1.430466
baseline,5.0,23,light codes,23,light codes,0.222153,0.72742,1.096599
baseline,5.0,24,inner earth,24,inner earth,0.001135,0.981779,0.119417
baseline,5.0,25,blue star,25,blue star,0.001238,0.980115,0.115769
baseline,5.0,26,dna,26,dna,0.002057,0.97924,0.126598
baseline,5.0,27,activation rite,27,activation rite,0.001915,0.624229,0.023753
baseline,5.0,28,akashic practice,28,akashic practice,0.070589,0.518016,0.730717
baseline,5.0,29,pyramid,29,pyramid,0.002748,0.979387,0.129745
baseline,5.0,30,templar,30,templar,0.013831,0.542262,0.129963
baseline,5.0,31,thothhorra,31,thothhorra,0.860021,0.521946,1.96959
baseline,5.0,32,great pyramid,32,great pyramid,0.000484,0.982601,0.050936
baseline,5.0,33,johannine,33,johannine,8.6e-05,0.987442,0.008359
baseline,5.0,34,crystal skull,34,crystal skull,0.000703,0.978109,0.037161
baseline,5.0,35,mother,35,mother,0.001239,0.979651,0.12018
baseline,5.0,36,templa mar,36,templa mar,0.000238,0.987823,0.024118
baseline,5.0,37,master,37,master,0.001205,0.98125,0.119266
baseline,5.0,38,mystery,38,mystery,0.001262,0.983039,0.116508
baseline,5.0,39,yeshua,39,yeshua,0.001146,0.980853,0.076366
baseline,5.0,40,pure gem,40,pure gem,0.001224,0.982662,0.120238
baseline,5.0,41,lineages,41,lineages,0.007522,0.561627,0.079218
baseline,5.0,42,gate,42,gate,0.001275,0.980929,0.117983
baseline,5.0,43,flame,43,flame,0.001338,0.979193,0.12008
baseline,5.0,44,dweller,44,dweller,0.001928,0.970795,0.072944
baseline,5.0,45,crystal skulls,45,crystal skulls,0.000627,0.979476,0.035971
baseline,5.0,46,atlantis,46,atlantis,0.001218,0.981906,0.118694
baseline,5.0,47,of light,47,of light,0.001486,0.980675,0.131329
baseline,5.0,48,merkabah,48,merkabah,0.723174,0.647551,1.812215
baseline,5.0,49,love,49,love,0.001995,0.979618,0.131996
baseline,5.0,50,grace,50,grace,0.001245,0.981935,0.11843
baseline,5.0,51,rite akashic,51,rite akashic,0.070589,0.518016,0.730717
baseline,5.0,52,temple of,52,temple of,0.703418,0.685194,1.844388
baseline,5.0,53,lion,53,lion,0.001638,0.976978,0.124894
baseline,5.0,54,matter,54,matter,0.001353,0.981338,0.119338
baseline,5.0,55,sun,55,sun,0.001591,0.979551,0.12283
baseline,5.0,56,skulls,56,skulls,0.000627,0.979476,0.035971
baseline,5.0,57,blood,57,blood,0.001184,0.981684,0.118438
baseline,5.0,58,metatronic,58,metatronic,0.683136,0.678991,1.827428
baseline,5.0,59,tree,59,tree,0.001853,0.980472,0.13249
baseline,5.0,60,self,60,self,0.001264,0.981463,0.11308
baseline,5.0,61,old,61,old,0.001272,0.98125,0.11376
baseline,5.0,62,king,62,king,0.000231,0.98765,0.024782
baseline,5.0,63,set,63,set,0.001211,0.982933,0.11687
baseline,5.0,64,john,64,john,3.8e-05,0.989957,0.004428
baseline,5.0,65,atlantean,65,atlantean,0.001083,0.981901,0.109583
baseline,5.0,66,jesus,66,jesus,0.00027,0.986144,0.021099
baseline,5.0,67,spirit heart,67,spirit heart,0.742372,0.601037,1.817634
baseline,5.0,68,nature,68,nature,0.001853,0.981648,0.130846
baseline,5.0,69,heart sanctuary,69,heart sanctuary,0.006612,0.957761,0.14512
baseline,5.0,70,adam,70,adam,0.001134,0.982071,0.074156
baseline,5.0,71,crystal,71,crystal,0.00436,0.954754,0.123913
baseline,5.0,72,isis eye,72,isis eye,7.6e-05,0.987403,0.00739
baseline,5.0,73,mari,73,mari,0.00023,0.987578,0.024119
baseline,5.0,74,egypt,74,egypt,0.001894,0.979268,0.123019
baseline,5.0,75,central,75,central,0.000723,0.983209,0.07115
baseline,5.0,76,logos,76,logos,0.00123,0.983202,0.110752
baseline,5.0,77,temporal alchemy,77,temporal alchemy,0.001915,0.624229,0.023753
baseline,5.0,78,knowledge,78,knowledge,0.001229,0.983047,0.112434
baseline,5.0,79,par,31,thothhorra,5e-06,0.993153,0.000656
baseline,5.0,80,city,80,city,0.000637,0.983037,0.06942
baseline,5.0,81,alchemy star,81,alchemy star,0.001915,0.624229,0.023753
baseline,5.0,82,johannine grove,31,thothhorra,5e-06,0.992281,0.000643
baseline,5.0,83,rose,83,rose,0.000944,0.981652,0.07782
baseline,5.0,84,mysteries,84,mysteries,0.001265,0.983189,0.117455
baseline,5.0,85,tehuti,85,tehuti,0.000627,0.981795,0.049305
baseline,5.0,86,black,86,black,0.001167,0.981538,0.116875
baseline,5.0,87,crystals,87,crystals,0.001265,0.983023,0.118161
baseline,5.0,88,prima matra,88,prima matra,0.000824,0.979845,0.075405
baseline,5.0,89,mystery school,67,spirit heart,5e-06,0.991793,0.000654
baseline,5.0,90,christine hayes,90,christine hayes,2.7e-05,0.989302,0.003202
baseline,5.0,91,goddess,91,goddess,0.000645,0.981987,0.069265
baseline,5.0,92,plain,92,plain,2e-05,0.990188,0.002272
baseline,5.0,93,lotus,93,lotus,0.002199,0.973364,0.077606
baseline,5.0,94,christos,94,christos,0.061848,0.928734,1.040202
baseline,5.0,95,book,95,book,0.001189,0.981528,0.117417
baseline,5.0,96,kadmon,96,kadmon,0.000501,0.982936,0.048713
baseline,5.0,97,queen,97,queen,0.001148,0.977916,0.073399
baseline,5.0,98,simeon,98,simeon,0.000433,0.983937,0.023671
baseline,5.0,99,grid,99,grid,0.001238,0.981733,0.122963
baseline,5.0,100,name,100,name,0.001213,0.979844,0.120423
baseline,5.0,101,the sun,101,the sun,0.000683,0.981234,0.072997
baseline,5.0,102,presence,102,presence,0.001224,0.983099,0.111335
baseline,5.0,103,sea,103,sea,0.000983,0.983014,0.075642
baseline,5.0,104,church,31,thothhorra,7e-06,0.991155,0.0008
baseline,5.0,105,egyptian,105,egyptian,0.000712,0.980754,0.073013
baseline,5.0,106,free information,106,free information,0.006712,0.939763,0.135136
baseline,5.0,107,holorian,107,holorian,2e-05,0.990334,0.002441
baseline,5.0,108,space,108,space,0.001224,0.983099,0.111335
baseline,5.0,109,high,109,high,0.001224,0.983099,0.111335
baseline,5.0,110,forms,110,forms,0.001223,0.982959,0.111889
baseline,5.0,111,mar,111,mar,0.000688,0.983071,0.068608
baseline,5.0,112,rite,112,rite,0.012936,0.542611,0.13007
baseline,5.0,113,practice,113,practice,0.012936,0.542611,0.13007
baseline,5.0,114,lord,114,lord,0.000144,0.988422,0.015355
baseline,5.0,115,please support,115,please support,0.006712,0.939763,0.135136
baseline,5.0,116,lady,116,lady,0.0003,0.986563,0.025505
baseline,5.0,117,gem,117,gem,0.001272,0.982257,0.119225
baseline,5.0,118,mazur,118,mazur,3.3e-05,0.98959,0.00386
baseline,5.0,119,kyi,119,kyi,0.005934,0.930588,0.136016
baseline,5.0,120,sirius,120,sirius,0.000297,0.985094,0.033003
baseline,5.0,121,valley,121,valley,0.000713,0.98356,0.072278
baseline,5.0,122,lords,122,lords,0.000613,0.981253,0.067557
baseline,5.0,123,journey,123,journey,0.001406,0.980844,0.125315
baseline,5.0,124,dragon,124,dragon,0.001327,0.981319,0.117615
baseline,5.0,125,individual,125,individual,0.001211,0.982933,0.11687
baseline,5.0,126,melchizedek,2,christ,1.3e-05,0.990773,0.001583
baseline,5.0,127,age,127,age,0.000684,0.982731,0.071822
baseline,5.0,128,stone,128,stone,0.000397,0.986197,0.033717
baseline,5.0,129,dweller crystal,129,dweller crystal,8.1e-05,0.987538,0.007308
baseline,5.0,130,level,130,level,0.001224,0.983099,0.111335
baseline,5.0,131,non profitset,131,non profitset,0.006712,0.939763,0.135136
baseline,5.0,132,magdalene,132,magdalene,0.000286,0.986542,0.032416
baseline,5.0,133,stars,133,stars,0.001277,0.980958,0.115368
baseline,5.0,134,island,134,island,0.001438,0.980135,0.080199
baseline,5.0,135,moon,135,moon,0.001271,0.983045,0.117394
baseline,5.0,136,maia christianne,136,maia christianne,0.021403,0.892953,0.375159
baseline,5.0,137,state,137,state,0.001223,0.982959,0.111889
baseline,5.0,138,thothhorra khandr,138,thothhorra khandr,0.143803,0.767403,1.219893
baseline,5.0,139,sanctuary,139,sanctuary,0.003673,0.971435,0.128987
baseline,5.0,140,dynamic,140,dynamic,0.001291,0.982251,0.110683
baseline,20.0,1,grail,1,grail,0.0,0.809846,0.0
baseline,20.0,2,christ,2,christ,4e-06,0.730076,1.1e-05
baseline,20.0,3,isis,4,osiris,0.0,0.818401,0.0
baseline,20.0,4,osiris,105,egyptian,0.0,0.831408,0.0
baseline,20.0,5,earth star,67,spirit heart,0.0,0.531393,0.0
baseline,20.0,6,temple doors,48,merkabah,1e-06,0.489475,4e-06
baseline,20.0,7,numis'om,7,numis'om,2e-06,0.569251,1.3e-05
baseline,20.0,8,ark,50,grace,0.0,0.637746,0.0
baseline,20.0,9,metatron,9,metatron,2e-06,0.529314,8e-06
baseline,20.0,10,venus,10,venus,2e-06,0.53314,6e-06
baseline,20.0,11,orion,11,orion,0.0,0.631719,0.0
baseline,20.0,12,eye,12,eye,0.0,0.593559,0.0
baseline,20.0,13,loch,2,christ,0.0,0.566116,0.0
baseline,20.0,14,maia nartoomid,14,maia nartoomid,0.0,0.561916,0.0
baseline,20.0,15,god,2,christ,0.0,0.633553,0.0
baseline,20.0,16,doors,48,merkabah,0.0,0.630133,0.0
baseline,20.0,17,star lineages,17,star lineages,0.0,0.57309,0.0
baseline,20.0,18,adam kadmon,70,adam,0.0,0.767978,0.0
baseline,20.0,19,new earth star,19,new earth star,3e-06,0.528504,1.1e-05
baseline,20.0,20,horus,6,temple doors,0.0,0.653317,0.0
baseline,20.0,21,skull,138,thothhorra khandr,0.0,0.487425,0.0
baseline,20.0,22,christic,2,christ,3e-06,0.41958,4e-06
baseline,20.0,23,light codes,23,light codes,0.0,0.7923,0.0
baseline,20.0,24,inner earth,75,central,0.0,0.638973,0.0
baseline,20.0,25,blue star,121,valley,0.0,0.837297,0.0
baseline,20.0,26,dna,26,dna,0.0,0.584569,0.0
baseline,20.0,27,activation rite,27,activation rite,0.0,0.614073,0.0
baseline,20.0,28,akashic practice,51,rite akashic,2e-06,0.262873,2e-06
baseline,20.0,29,pyramid,29,pyramid,0.0,0.637028,0.0
baseline,20.0,30,templar,30,templar,0.0,0.561916,0.0
baseline,20.0,31,thothhorra,31,thothhorra,4e-06,0.36026,6e-06
baseline,20.0,32,great pyramid,32,great pyramid,0.0,0.613372,0.0
baseline,20.0,33,johannine,7,numis'om,0.0,0.611955,0.0
baseline,20.0,34,crystal skull,138,thothhorra khandr,0.0,0.496171,0.0
baseline,20.0,35,mother,91,goddess,0.0,0.643031,0.0
baseline,20.0,36,templa mar,99,grid,0.0,0.767455,0.0
baseline,20.0,37,master,2,christ,0.0,0.647566,0.0
baseline,20.0,38,mystery,2,christ,0.0,0.636419,0.0
baseline,20.0,39,yeshua,2,christ,0.0,0.580054,0.0
baseline,20.0,40,pure gem,117,gem,0.0,0.626594,0.0
baseline,20.0,41,lineages,41,lineages,0.0,0.565263,0.0
baseline,20.0,42,gate,2,christ,0.0,0.648301,0.0
baseline,20.0,43,flame,83,rose,0.0,0.648098,0.0
baseline,20.0,44,dweller,44,dweller,0.0,0.732788,0.0
baseline,20.0,45,crystal skulls,138,thothhorra khandr,0.0,0.497765,0.0
baseline,20.0,46,atlantis,65,atlantean,0.0,0.636027,0.0
baseline,20.0,47,of light,48,merkabah,0.0,0.623658,0.0
baseline,20.0,48,merkabah,48,merkabah,3e-06,0.575073,1.1e-05
baseline,20.0,49,love,94,christos,0.0,0.539915,0.0
baseline,20.0,50,grace,8,ark,0.0,0.637746,0.0
baseline,20.0,51,rite akashic,28,akashic practice,2e-06,0.262873,2e-06
baseline,20.0,52,temple of,52,temple of,0.0,0.945217,0.0
baseline,20.0,53,lion,53,lion,0.0,0.632183,0.0
baseline,20.0,54,matter,88,prima matra,0.0,0.640556,0.0
baseline,20.0,55,sun,55,sun,0.0,0.627263,0.0
baseline,20.0,56,skulls,138,thothhorra khandr,0.0,0.497765,0.0
baseline,20.0,57,blood,2,christ,0.0,0.642939,0.0
baseline,20.0,58,metatronic,58,metatronic,0.0,0.951166,0.0
baseline,20.0,59,tree,94,christos,0.0,0.542318,0.0
