Step | S_RX0 rho / p | P_Bus0 rho / p | Val0 Bridge (S9) | Val0 Hub (S0) | Val0 Spoke (S1)
-----------------------------------------------------------------------------------------
  58 | 294.8/5.51  |  15.0/5.55  |  14.960/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  59 | 294.8/5.51  |  15.1/5.55  |  14.952/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  60 | 294.9/5.51  |  15.1/5.55  |  14.946/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  61 | 294.9/5.51  |  15.1/5.55  |  14.939/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  62 | 294.9/5.51  |  15.0/5.55  |  14.934/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  63 | 294.9/5.51  |  14.9/5.54  |  14.928/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  64 | 294.9/5.51  |  14.9/5.53  |  14.924/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  65 | 294.9/5.51  |  14.8/5.52  |  14.920/5.54 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  66 | 294.9/5.51  |  14.7/5.51  |  14.916/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  67 | 294.9/5.51  |  14.7/5.51  |  14.913/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  68 | 295.0/5.51  |  14.7/5.51  |  14.910/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  69 | 295.0/5.51  |  14.7/5.51  |  14.907/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  70 | 295.0/5.51  |  14.7/5.51  |  14.904/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  71 | 295.1/5.51  |  14.8/5.52  |  14.902/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  72 | 295.1/5.51  |  14.8/5.52  |  14.899/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  73 | 295.1/5.51  |  14.8/5.52  |  14.897/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  74 | 295.1/5.51  |  14.9/5.53  |  14.895/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  75 | 295.1/5.51  |  14.9/5.53  |  14.893/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  76 | 295.1/5.51  |  14.9/5.53  |  14.890/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  77 | 295.1/5.51  |  14.8/5.53  |  14.887/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  78 | 295.1/5.51  |  14.8/5.52  |  14.884/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  79 | 295.1/5.51  |  14.8/5.52  |  14.881/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  80 | 295.1/5.51  |  14.8/5.52  |  14.878/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
  81 | 295.1/5.51  |  14.8/5.52  |  14.876/5.53 (sm=1.0) |  450.1/5.55 (sm=30.0) |   15.0/5.55 (sm=1.0)
