schema,runId,runIndex,repIndex,wantId,pressCUsed,baseDampUsed,busThreshUsed,ampB,ampD,ampSum,tick,tMs,lateByMs,basin,sumAbsFlux,meanAbsP,maxAbsEdgeFlux,maxEdgeIndex,maxEdgeFrom,maxEdgeTo,maxEdgeFlux,concentration,flux_114_89,flux_114_79,flux_136_89,flux_136_79
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,30,6000,0.0,90,235.130056,2.202744,3.110732,511,82,23,3.110732,0.013230,0.143525,0.148244,-0.408182,-0.402566
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,31,6200,0.0,90,219.640983,2.105361,3.109748,511,82,23,3.109748,0.014158,0.135776,0.140830,-0.323786,-0.317779
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,32,6400,0.0,90,192.358021,2.008229,2.985951,511,82,23,2.985951,0.015523,0.123433,0.128647,-0.237506,-0.231318
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,33,6600,0.0,90,158.303477,1.913446,2.769352,511,82,23,2.769352,0.017494,0.107616,0.112777,-0.152639,-0.146524
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,34,6800,0.0,90,123.142004,1.825624,2.557109,511,82,23,2.557109,0.020766,0.090172,0.095027,-0.071824,-0.066085
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,35,7000,0.0,90,90.392782,1.746133,2.393461,511,82,23,2.393461,0.026478,0.072799,0.077177,0.003901,0.009058
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,36,7200,0.0,90,63.082035,1.675874,2.255852,511,82,23,2.255852,0.035761,0.056255,0.060225,0.073788,0.078451
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,37,7400,0.0,90,63.170080,1.615123,2.102558,511,82,23,2.102558,0.033284,0.040252,0.044183,0.135506,0.140114
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,38,7600,0.0,90,84.798489,1.562965,1.906593,511,82,23,1.906593,0.022484,0.024228,0.028629,0.186529,0.191692
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,39,7800,0.0,90,103.193975,1.518733,1.686671,511,82,23,1.686671,0.016345,0.008364,0.013614,0.225758,0.231934
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,40,8000,0.0,90,118.684381,1.481539,1.505064,511,82,23,1.505064,0.012681,-0.006006,0.000162,0.254040,0.261314
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,41,8200,0.0,90,129.282606,1.449493,1.395558,511,82,23,1.395558,0.010795,-0.016895,-0.010025,0.273285,0.281402
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,42,8400,0.0,90,134.914991,1.421431,1.336727,511,82,23,1.336727,0.009908,-0.022692,-0.015419,0.285143,0.293750
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,43,8600,0.0,90,136.616948,1.396562,1.289106,511,82,23,1.289106,0.009436,-0.022982,-0.015467,0.290255,0.299159
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,44,8800,0.0,90,134.873571,1.374169,1.292279,149,90,78,1.292279,0.009581,-0.018617,-0.010806,0.288395,0.297661
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,45,9000,0.0,90,132.647010,1.354099,1.370539,152,90,13,1.370539,0.010332,-0.011060,-0.002795,0.279257,0.289076
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,46,9200,0.0,90,133.468874,1.336090,1.436574,152,90,13,1.436574,0.010763,-0.001554,0.007237,0.263133,0.273592
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,47,9400,0.0,90,136.213383,1.319572,1.485799,152,90,13,1.485799,0.010908,0.009285,0.018471,0.241007,0.251949
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,48,9600,0.0,90,142.276560,1.304266,1.555283,169,90,79,1.555283,0.010931,0.021286,0.030584,0.214175,0.225260
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,49,9800,0.0,90,149.130399,1.287186,1.586905,169,90,79,1.586905,0.010641,0.034251,0.043384,0.179449,0.190340
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,50,10000,0.0,90,148.432437,1.268070,1.486932,169,90,79,1.486932,0.010018,0.047691,0.056531,0.130197,0.140737
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,51,10200,0.0,90,137.063756,1.244052,1.259198,511,82,23,1.259198,0.009187,0.060680,0.069273,0.070208,0.080444
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,52,10400,0.0,82,115.659516,1.211786,1.269836,511,82,23,1.269836,0.010979,0.071849,0.080297,0.005437,0.015488
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,53,10600,0.0,82,92.008525,1.173556,1.291225,511,82,23,1.291225,0.014034,0.079546,0.087863,-0.056705,-0.046826
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,54,10800,0.0,82,88.302664,1.124931,1.307643,511,82,23,1.307643,0.014809,0.082131,0.090162,-0.109091,-0.099563
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,55,11000,0.0,90,104.057110,1.069199,1.304951,511,82,23,1.304951,0.012541,0.078534,0.086000,-0.146388,-0.137540
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,56,11200,0.0,90,106.632516,1.008388,1.284015,511,82,23,1.284015,0.012041,0.068845,0.075470,-0.165637,-0.157792
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,57,11400,0.0,90,96.685005,0.946058,1.258567,511,82,23,1.258567,0.013017,0.054545,0.060200,-0.166439,-0.159746
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,58,11600,0.0,90,77.714745,0.886430,1.237582,511,82,23,1.237582,0.015925,0.038177,0.042948,-0.150730,-0.145084
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,59,11800,0.0,90,55.002228,0.833236,1.215869,511,82,23,1.215869,0.022106,0.022525,0.026670,-0.122473,-0.117562
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-01-904Z_r00000_rep1_want82_simul_ampB4.000_ampD5.500,0,1,82,2.0,5.0,0.5,4.0,5.5,9.5,60,12000,0.0,90,36.450821,0.788767,1.184005,511,82,23,1.184005,0.032482,0.009723,0.013557,-0.087148,-0.082594
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,0,0,0.0,90,1111.585976,3.535939,6.937833,536,82,19,6.937833,0.006241,0.336422,0.332481,-0.390096,-0.394810
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,1,200,0.0,90,1141.509307,3.544828,7.441088,536,82,19,7.441088,0.006519,0.409521,0.405232,-0.246523,-0.251641
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,2,400,0.0,90,1149.107751,3.549738,7.708172,536,82,19,7.708172,0.006708,0.466201,0.461484,-0.137600,-0.143219
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,3,600,0.0,90,1110.183063,3.527267,7.471945,536,82,19,7.471945,0.006730,0.507951,0.502818,-0.058689,-0.064793
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,4,800,0.0,90,966.500080,3.505824,6.092000,536,82,19,6.092000,0.006303,0.536638,0.531203,-0.004579,-0.011031
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,5,1000,0.0,90,832.343596,3.488476,5.190615,181,90,128,5.190615,0.006236,0.554395,0.548867,0.030829,0.024278
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,6,1200,0.0,90,715.294839,3.457171,5.132602,181,90,128,5.132602,0.007176,0.562986,0.557649,0.052738,0.046428
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,7,1400,0.0,90,613.399118,3.413746,5.090957,181,90,128,5.090957,0.008300,0.563692,0.558882,0.065116,0.059448
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,8,1600,0.0,90,541.912087,3.359668,5.067243,181,90,128,5.067243,0.009351,0.557372,0.553441,0.070879,0.066269
3.11.16m_fineBoundarySigmoidMap_v1,2026-05-30T21-46-03-510Z_r00001_rep2_want82_simul_ampB4.000_ampD5.500,1,2,82,2.0,5.0,0.5,4.0,5.5,9.5,9,1800,0.0,90,557.989135,3.301508,5.062392,181,90,128,5.062392,0.009073,0.544571,0.541835,0.072087,0.068908
