schema,runId,runIndex,repIndex,capLawHash,pressCUsed,dampUsed,tick,tMs,lateByMs,basin,max1_from,max1_to,max1_absFlux,max2_from,max2_to,max2_absFlux,flux_114_89,flux_114_79,flux_136_89,flux_136_79,flux_89_79,handshake_pending,handshake_applied_tick
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,44,8800,0.0,82,104,114,0.001744,114,89,0.001744,0.001744,0.001744,0.001444,0.001444,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,45,9000,0.0,82,104,114,0.001547,114,89,0.001547,0.001547,0.001546,0.001281,0.001281,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,46,9200,0.0,82,104,114,0.001372,114,89,0.001372,0.001372,0.001371,0.001137,0.001137,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,47,9400,0.0,82,104,114,0.001216,114,89,0.001216,0.001216,0.001216,0.001008,0.001008,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,48,9600,0.0,82,104,114,0.001079,114,89,0.001079,0.001079,0.001079,0.000894,0.000894,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,49,9800,0.0,82,104,114,0.000957,114,89,0.000957,0.000957,0.000957,0.000793,0.000793,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,50,10000,0.0,82,104,114,0.000848,114,89,0.000848,0.000848,0.000848,0.000703,0.000703,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,51,10200,0.0,82,104,114,0.000752,114,89,0.000752,0.000752,0.000752,0.000624,0.000624,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,52,10400,0.0,82,104,114,0.000667,114,89,0.000667,0.000667,0.000667,0.000553,0.000553,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,53,10600,0.0,82,104,114,0.000592,114,89,0.000592,0.000592,0.000592,0.000490,0.000490,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,54,10800,0.0,82,104,114,0.000525,114,89,0.000525,0.000525,0.000525,0.000435,0.000435,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,55,11000,0.0,82,104,114,0.000465,114,89,0.000465,0.000465,0.000465,0.000386,0.000386,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,56,11200,0.0,82,104,114,0.000413,114,89,0.000413,0.000413,0.000413,0.000342,0.000342,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,57,11400,0.0,82,104,114,0.000366,114,89,0.000366,0.000366,0.000366,0.000303,0.000303,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,58,11600,0.0,82,104,114,0.000325,114,89,0.000325,0.000325,0.000325,0.000269,0.000269,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,59,11800,0.0,82,104,114,0.000288,114,89,0.000288,0.000288,0.000288,0.000239,0.000239,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-29-554Z_r00000_d20.000_rep1,0,1,9dbcb7d6,2.0,20,60,12000,0.0,82,104,114,0.000255,114,89,0.000255,0.000255,0.000255,0.000212,0.000212,-0.000000,1,3
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,0,0,0.0,82,90,89,0.125076,90,79,0.125075,0.000193,0.000192,0.033152,0.033151,-0.000001,0,
sol_phase311_16y_adaptiveHandshakeDampSweep_v1,2026-05-30T22-10-31-179Z_r00001_d10.000_rep12,1,12,9dbcb7d6,2.0,10,1,200,0.0,82,82,23,0.120938,90,89,0.119296,0.029745,0.029744,0.059048,0.059048,-0.000001,0,
